club,email,phone,fax,facebook,twitter,instagram
bry_sur_marne,mollet.remi@orange.fr,01.49.30.05.15/06.95.904.408,01.49.30.56.34,,,
charenton,contact@clubdudragon.com,,,https://www.facebook.com/pages/Club-du-Dragon/6299867294,,
chatenay,,,,,,
chelles,mollet.remi@orange.fr,01.49.30.05.15/06.95.904.408,01.49.30.56.34,,,
compiegne,,06 79 80 32 73,,https://www.facebook.com/TKDCompiegne/,,
crecy_la_chapelle,mollet.remi@orange.fr,01.49.30.05.15/06.95.904.408,01.49.30.56.34,,,
gretz,contact@tkdgretzfontenay.fr,,,,,
joinville,mollet.remi@orange.fr,01.49.30.05.15/06.95.904.408,01.49.30.56.34,,,
le_perreux_sur_marne,mollet.remi@orange.fr,01.49.30.05.15/06.95.904.408,01.49.30.56.34,,,
le_plessis_trevise,mollet.remi@orange.fr,01 48 80 13 07/06 62 24 13 07,01.49.30.56.34,,,
marseille,tkdmarseille@laposte.net,06.63.25.81.43,,,,
meudon,relissaoui@yahoo.fr,06.72.29.72.01,01.49.30.56.34,,,
nogent_sur_marne,,06.08.65.25.47,01.49.30.56.34,,,
noisiel,mollet.remi@orange.fr,06.30.86.48.41,01.49.30.56.34,,,
paris5,mollet.remi@orange.fr,01.49.30.05.15/06.95.904.408,01.49.30.56.34,,,
paris19,sacamp75019@gmail.com,09 77 72 97 18,,,,
pommeuse,mollet.remi@orange.fr,06.87.70.54.24,01.49.30.56.34,,,
pomponne,mollet.remi@orange.fr,06.30.86.48.41,01.49.30.56.34,,,
provins,mollet.remi@orange.fr,06.47.70.26.45,01.49.30.56.34,,,
roissy_en_brie,mollet.remi@orange.fr,06.07.12.38.29,01.49.30.56.34,,,
villejuif,mollet.remi@orange.fr,06.11.90.62.73,01.49.30.56.34,,,
villeneuve_la_comtesse,stephane.burlet@cenaclerm.fr,06.08.23.87.24,https://www.facebook.com/taekwonkido.phenix?ref=hl,,,https://www.instagram.com/taekwonkido.phenix/
villiers_sur_marne,mollet.remi@orange.fr,06.69.40.65.34,01.49.30.56.34,,
vincennes,,06 09 73 02 51,,,

